geo_id_blk,hra,id
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
5.3033E+14,Ballard,2000
